,Latitude,Longitude,name,description,State,Active
0,30.69225,-88.05439,ARC (Awakening Respect and Compassion for all Sentient Beings) ,"https://www.facebook.com/ARCforallbeings/events/?ref=page_internal

http://arcforallbeings.org/",Alabama,Y
1,33.437063,-112.018386,"WSH: Phoenix, AZ, USA",https://www.facebook.com/groups/301064867412418,Arizona,N
2,33.511693,-112.070119,The Earthlings Experience Phoenix Arizona,https://www.facebook.com/EarthlingsExperiencePHX/,Arizona,N
3,32.222924,-110.940059,The Earthlings Experience - Tucson,https://www.facebook.com/earthlings2son/,Arizona,N
4,34.54556,-112.458242,Prescott Animal Save,https://www.facebook.com/prescottanimalsave/events/?ref=page_internal,Arizona,N
5,33.411889,-112.072648,Phoenix Animal Save,https://www.facebook.com/phoenixanimalsave/,Arizona,N
6,33.486179,-112.019794,"AV: Phoenix, AZ, USA",https://www.facebook.com/groups/180221205885326/,Arizona,N
7,32.184562,-110.980037,"AV: Tucson, AZ, USA",https://www.facebook.com/groups/1581649921952152/,Arizona,N
8,32.257831,-110.973016,Tucson Animal Save,https://www.facebook.com/tucsonanimalsave/events/?ref=page_internal,Arizona,N
9,33.447366,-112.13164,"Animal Rising: Phoenix AZ, USA",https://www.facebook.com/groups/AnimalRebellionPhoenix/,Arizona,N
10,32.226785,-111.013319,Anti-Speciesist Action,https://www.facebook.com/antispeciesistaction/events/?ref=page_internal,Arizona,N
11,36.186382,-94.131889,Springdale Animal Save,https://www.facebook.com/springdaleanimalsave/events/?ref=page_internal,Arkansas,N
12,34.746481,-92.289595,"AV: Little Rock, AR, USA",https://www.facebook.com/groups/324980191598719/,Arkansas,Y
13,37.962354,-121.304358,Stockton Animal Save,https://www.facebook.com/StocktonAnimalSave/events/?ref=page_internal,California,Y
14,34.036871,-118.230486,Animal Equality LA Office,https://animalequality.org/volunteer/,California,Y
15,34.042419,-118.439484,SOS University of California Los Angeles,https://sos.peta.org/join-a-hub/,California,N
16,38.543869,-121.773148,SOS University of California-Davis,https://sos.peta.org/join-a-hub/,California,N
17,34.034453,-118.689938,SOS Malibu,https://sos.peta.org/join-a-hub/,California,N
18,34.06681,-118.256321,SOS Los Angeles,https://sos.peta.org/join-a-hub/,California,N
19,37.880002,-122.274399,"AV: Berkeley, CA, USA",https://www.facebook.com/groups/237495523445168/,California,N
20,39.728494,-121.837478,"AV: Chico, CA, USA",https://www.facebook.com/groups/2276774099319927/,California,N
21,33.97383,-118.372536,SOS West Los Angeles College,https://sos.peta.org/join-a-hub/,California,N
22,37.32212,-122.034073,SOS Cupertino,https://sos.peta.org/join-a-hub/,California,N
23,32.734151,-117.141209,Vegan Justice - San Diego,https://www.instagram.com/veganjusticesd,California,Y
24,32.711044,-117.14962,SOS San Diego,https://sos.peta.org/join-a-hub/,California,N
25,37.502064,-120.842333,Turlock Animal Save,https://www.facebook.com/turlockanimalsave/,California,N
26,38.291334,-122.454879,Sonoma County Animal Save,https://www.facebook.com/Sonoma-County-Animal-Save-303206447262245/,California,N
27,34.746034,-118.259944,Antelope Valley Animal Save,https://www.facebook.com/Antelope-Valley-Animal-Save-569267516769745/,California,N
28,34.03431,-118.243876,Animal Alliance Network,https://www.facebook.com/animalalliancenetwork/events/?ref=page_internal,California,Y
29,37.30956,-121.933136,SOS San Jose,https://sos.peta.org/join-a-hub/,California,N
30,36.999811,-121.976395,SOS Santa Cruz,https://sos.peta.org/join-a-hub/,California,N
31,34.17943,-118.524628,SOS Reseda,https://sos.peta.org/join-a-hub/,California,N
32,33.962156,-117.432518,SOS Patriot High School,https://sos.peta.org/join-a-hub/,California,N
33,34.018735,-117.702501,Chino Animal Save,https://www.facebook.com/chinocowsave/events/?ref=page_internal,California,Y
34,33.9576,-118.225937,SOS South Gate High School,https://sos.peta.org/join-a-hub/,California,N
35,34.046472,-118.263273,La Fur Animal Save,https://www.facebook.com/lafuranimalsave/events/?ref=page_internal,California,N
36,34.070578,-118.241644,Los Angeles Animal Save,https://www.facebook.com/laanimalsave/,California,Y
37,34.054935,-118.223276,Los Angeles Fish Save,https://www.facebook.com/lafishsave/,California,Y
38,38.751941,-121.287689,SOS Oakmont High School,https://sos.peta.org/join-a-hub/,California,N
39,37.651997,-121.024456,Modesto Animal Save,https://www.facebook.com/modestoanimalsave/events/?ref=page_internal,California,N
40,34.068303,-118.504372,SOS Milken Community High School,https://sos.peta.org/join-a-hub/,California,N
41,37.872279,-122.281694,Berkeley Fish Save,https://www.facebook.com/BerkeleyFishSave/,California,N
