Latitude,Longitude,name,styleUrl,styleHash,styleMapHash,description,ID,FacebookID,Name,Flag,FbURL,TwitterURL,InstaURL,Email,Region,Lat,Lng,gx_media_links
44.979371,-93.262081,Animal Rights Coalition,,,,http://animalrightscoalition.com/,,,,,,,,,,,,
45.516452,-122.699432,Animal Rights Collective Portland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/arcportland/events/?ref=page_internal,,,,,,,,,,,,
-1.656816,29.194965,Animal rights DRC,,,,https://instagram.com/fffgomagroup?igshid=NTc4MTIwNjQ2YQ==,,,,,,,,,,,,
21.306339,-157.858032,Animal Rights Hawai'i,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalRightsHawaii/events/?ref=page_internal,,,,,,,,,,,,
51.291337,0.523815,Animal Rights in Kent,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Animal-Rights-in-Kent-135839559769643/events/?ref=page_internal,,,,,,,,,,,,
14.606878,120.98298,Animal Rights March - Philippines,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalrightsmarchphilippines/,,,,,,,,,,,,
50.942151,6.949196,"Animal Rights March • Köln, Germany",#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ARMKoeln,,,,,,,,,,,,
9.91345,-84.056506,Animal Rights March Costa Rica,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Animal-Rights-March-Costa-Rica-532273067259801/?ref=page_internal,,,,,,,,,,,,
52.358409,4.910244,Animal Rights March Nederland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalrightsmarchnederland,,,,,,,,,,,,
45.492149,-122.680206,Animal Rights March PNW,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalrightsmarchportland/?ref=page_internal,,,,,,,,,,,,
47.380452,8.533459,Animal Rights March Zürich,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalrightsmarchzurich/,,,,,,,,,,,,
52.386916,4.865913,Animal Rights NL,,,,https://www.facebook.com/AnimalRightsNL/events/?ref=page_internal,,,,,,,,,,,,
53.215902,6.561584,Animal Rights Outreach in Groningen,,,,https://www.facebook.com/groups/AnimalRightsOutreachGroningen/,,,,,,,,,,,,
52.503161,13.385639,Animal Rights Squares Berlin,#icon-1899-0288D1,-21fe3a8d,[object Object],"https://www.facebook.com/groups/180060079893604/http://animalrightssquare.de
https://www.instagram.com/animalrightssquares/",,,,,,,,,,,,
43.649119,-79.364719,Animal Rights Toronto,,,,https://animalrightstoronto.com/events/ https://www.facebook.com/AnimalRightsToronto/events/,,,,,,,,,,,,
54.047699,-2.798767,Animal Think Tank,,,,https://animalthinktank.org.uk/,,,,,,,,,,,,
50.061327,19.963017,Animal's Voice Kraków,,,,https://www.facebook.com/avkrakow,,,,,,,,,,,,
52.208501,21.01367,Animal's Voice Warszawa,,,,https://www.facebook.com/AnimalVoiceWarszawa,,,,,,,,,,,,
49.622671,6.126618,AnimalDignity.lu,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Animaldignity,,,,,,,,,,,,
60.188647,24.98291,Animalia,,,,https://www.facebook.com/animaliary/,,,,,,,,,,,,
43.261581,-2.949486,Animaliok,,,,https://www.facebook.com/animaliok.org/,,,,,,,,,,,,
48.573427,7.713089,ANIMALISE,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ANIMALISE/events/?ref=page_internal,,,,,,,,,,,,
33.885217,35.542851,Animals Lebanon,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalsLebanon/events/?ref=page_internal,,,,,,,,,,,,
